V1,V2,V3,V4,V5,V6,V7
BT5,87,S4W,53,BT5,87,S4W
BT5,87,S4A,58,BT5,87,S4A
BT1,102,.K7,24,BT1,102,.K7
PN8,5.L,49,PN8,5.L,49,PN8
BX2,350,.L4,73,BX2,350,.L4
BT3,3,S77,BT3,3,S77,BT3
BR1,62,H37,BR1,62,H37,BR1
BT1,5.L,48,BT1,5.L,48,BT1
BX8,90,T62,E6,BX8,90,T62
BT3,3,F34,BT3,3,F34,BT3
JA7,1.S,278,JA7,1.S,278,JA7
BJ1,401,.N4,5,BJ1,401,.N4
BX5,199,.L5,3A2,5,BX5,199
BH8,1.S,751,3,BH8,1.S,751
BX4,705,.N5,S5,BX4,705,.N5
BX8,8,B46,BX8,8,B46,BX8
BX4,655,.3.,B46,BX4,655,.3.
BT8,21,S52,BT8,21,S52,BT8
BV8,25,V6,BV8,25,V6,BV8
BX4,705,.W2,87S,52,BX4,705
BX1,378,.A2,5,BX1,378,.A2
BX1,751,.O6,785,BX1,751,.O6
BT3,1,S41,83,BT3,1,S41
BX2,179,.L8,M33,4,BX2,179
DS4,9.D,24,DS4,9.D,24,DS4
BX3,4,.Z5,C33,9,BX3,4
PN6,165,.R6,6,PN6,165,.R6
BX3,4,.K3,45,BX3,4,.K3
BX9,418,.M2,8,BX9,418,.M2
HQ6,3.H,8,HQ6,3.H,8,HQ6
BX4,805,.D3,13,BX4,805,.D3
BT7,6,W41,3,BT7,6,W41
BV1,70,N37,L50,5,BV1,70
BX1,406,.D3,9,BX1,406,.D3
BX2,233,.G7,6,BX2,233,.G7
BS8,95,S77,BS8,95,S77,BS8
BX2,350,.B3,5,BX2,350,.B3
BF5,1.V,57,BF5,1.V,57,BF5
BV4,911,.L3,8,BV4,911,.L3
BX2,260,BX2,260,BX2,260,BX2
BX4,668,.D3,A33,BX4,668,.D3
BT6,60,F3,BT6,60,F3,BT6
BX2,35,.P4,1.00E+05,BX2,35,.P4
BS4,441,BS4,441,BS4,441,BS4
BX8,85,T73,BX8,85,T73,BX8
BX4,668,.D3,A33,BX4,668,.D3
BX1,805,.B8,4,BX1,805,.B8
BT2,1.N,49,BT2,1.N,49,BT2
BX4,705,.N5,B51,3,BX4,705
BX2,230,.G5,BX2,230,.G5,BX2
BV8,3,M52,BV8,3,M52,BV8
BL6,5.T,47W,45,BL6,5.T,47W
BF5,75,G7L,67,BF5,75,G7L
QE7,7,T4K,63,QE7,7,T4K
BX4,705,.M5,42K,44,BX4,705
BT3,6,B35,13,BT3,6,B35
BX1,905,.R3,13,BX1,905,.R3
BT9,99,B37,BT9,99,B37,BT9
BD4,50,T41,3,BD4,50,T41
BX1,756,.B3,38D,851,3,BX1
BX1,749,.T6,F3,BX1,749,.T6
PL1,455,.N5,8,PL1,455,.N5
BT3,1,F7,BT3,1,F7,BT3
BS2,615,.B3,84,BS2,615,.B3
BX1,746,.G8,13,BX1,746,.G8
BT8,21,G82,BT8,21,G82,BT8
PE2,835,.O9,PE2,835,.O9,PE2
BT2,18,G81,3,BT2,18,G81
BX2,351,.O9,4,BX2,351,.O9
PJ4,567,.W4,PJ4,567,.W4,PJ4
PC4,640,.R3,2,PC4,640,.R3
BX2,350,0.3,BX2,350,0.3,BX2
BX2,183,.M3,3,BX2,183,.M3
BT5,90,W6W,33,BT5,90,W6W
PA2,107,.B4,PA2,107,.B4,PA2
BT2,2,S45,BT2,2,S45,BT2
BT2,2,P25,BT2,2,P25,BT2
BR1,23,M43,5,BR1,23,M43
PA2,61,PA2,61,PA2,61,PA2
BT9,99,B37,BT9,99,B37,BT9
PJ4,567,.H2,8,PJ4,567,.H2
BT7,51,F25,BT7,51,F25,BT7
PA2,87,.H5,32,PA2,87,.H5
PA2,87,.H5,3,PA2,87,.H5
BV4,655,.R6,BV4,655,.R6,BV4
BS4,80,N42,BS4,80,N42,BS4
BX2,236,.2.,A55,BX2,236,.2.
R72,5.M,37,R72,5.M,37,R72
BT9,0,BT9,0,BT9,0,BT9
BX5,133,.N4,S35,2,BX5,133
BV5,91,.C7,P48,13,BV5,91
BS6,80,M35,G73,BS6,80,M35
BX2,178,.A9,3,BX2,178,.A9
BX5,133,.N4,P3,BX5,133,.N4
BL6,24,W51,3,BL6,24,W51
PQ2,683,.I3,2Z5,8,PQ2,683
BX4,700,.C5,6S5,BX4,700,.C5
BX2,350,.N6,72,BX2,350,.N6
BV2,10,G73,BV2,10,G73,BV2
BV4,11,.N6,8,BV4,11,.N6
BT1,0.M,3,BT1,0.M,3,BT1
BX4,700,.L7,BX4,700,.L7,BX4
BV2,45,N69,BV2,45,N69,BV2
BV2,10,2,BV2,10,2,BV2
BX4,651,.M2,7,BX4,651,.M2
BV1,76,S48,BV1,76,S48,BV1
BT2,2,B53,13,BT2,2,B53
BT3,1,S46,BT3,1,S46,BT3
BX2,183,.C5,BX2,183,.C5,BX2
BS5,11,M22,4,BS5,11,M22
BT8,21,G82,BT8,21,G82,BT8
BV5,32,.T3,14,BV5,32,.T3
BV5,80,.J7,759,3,BV5,80
BV4,647,.P6,M43,13,BV4,647
BV2,30,L38,3,BV2,30,L38
B76,5.T,54C,64,B76,5.T,54C
BX2,179,.L8,E47,BX2,179,.L8
BT1,21,B64,BT1,21,B64,BT1
BT2,2,T78,BT2,2,T78,BT2
BT7,5.M,395,BT7,5.M,395,BT7
BV4,466,.L4,4,BV4,466,.L4
BX8,30,K54,313,BX8,30,K54
BX2,350,.3.,A65,BX2,350,.3.
BT1,2,BT1,2,BT1,2,BT1
BX2,170,.C5,6J6,3,BX2,170
BV2,10,P44,BV2,10,P44,BV2
BX1,378,0.5,BX1,378,0.5,BX1
BX2,435,.N5,7,BX2,435,.N5
PR6,39,.O3,2H6,356,PR6,39
BV4,911,.R6,5,BV4,911,.R6
BV6,76,W54,6,BV6,76,W54
BV4,821,.A1,BV4,821,.A1,BV4
BT6,60,F3M,32,BT6,60,F3M
BX2,215,.3.,C65,BX2,215,.3.
BV4,0.M,28,BV4,0.M,28,BV4
BX1,532,.G3,T33,BX1,532,.G3
BX2,350,.N6,67,BX2,350,.N6
BX2,350,.G3,175,13,BX2,350
BX2,351,BX2,351,BX2,351,BX2
BR1,725,.M3,46A,3,BR1,725
BT6,60,F3M,364,13,BT6,60
BV2,65,F36,BV2,65,F36,BV2
BX2,200,.H2,3,BX2,200,.H2
BV2,10,2,BV2,10,2,BV2
BX2,349,.H4,2,BX2,349,.H4
BV2,13,BV2,13,BV2,13,BV2
BR1,70,.S4,5,BR1,70,.S4
BV5,80,.C5,3,BV5,80,.C5
BR6,5.A,9P4,513,BR6,5.A,9P4
BX4,700,.F6,M67,5,BX4,700
BT6,45,BT6,45,BT6,45,BT6
BT6,40,M6,BT6,40,M6,BT6
BX2,183,.C5,BX2,183,.C5,BX2
BX2,160,.L6,8,BX2,160,.L6
BX2,170,.L4,BX2,170,.L4,BX2
BX2,350,.R5,4,BX2,350,.R5
BV4,817,.P7,4,BV4,817,.P7
BS5,11,M87,BS5,11,M87,BS5
BX2,350,BX2,350,BX2,350,BX2
BX2,350,BX2,350,BX2,350,BX2
BV2,45,B31,74,BV2,45,B31
BV4,905,.M2,8,BV4,905,.M2
BV4,905,.S7,7,BV4,905,.S7
BV2,15,S32,BV2,15,S32,BV2
BX2,183,.Q6,13,BX2,183,.Q6
BV4,905,.W4,5,BV4,905,.W4
BR1,0,T37,3,BR1,0,T37
B24,30,T37,3H9,3,B24,30
BX2,178,.A9,3,BX2,178,.A9
BX1,749,.T5,13,BX1,749,.T5
PR4,453,.C4,M38,PR4,453,.C4
BX9,46,N48,BX9,46,N48,BX9
BX1,407,.P6,3C4,3,BX1,407
BX1,754,.W3,9,BX1,754,.W3
PR4,453,.C4,C5,PR4,453,.C4
PR6,3,.E4,5,PR6,3,.E4
PR5,107,.D6,PR5,107,.D6,PR5
BT4,57,S54,BT4,57,S54,BT4
BX2,250,.W8,4,BX2,250,.W8
PR5,818,.D3,PR5,818,.D3,PR5
BX1,389,.R4,3,BX1,389,.R4
BV4,647,.H8,F73,BV4,647,.H8
BX2,435,.S5,6,BX2,435,.S5
BX1,754,.K7,4,BX1,754,.K7
BX5,133,.N4,S35,2,BX5,133
BX2,260,.H1,5,BX2,260,.H1
BX2,163,.Y4,8,BX2,163,.Y4
BX2,435,.O3,3,BX2,435,.O3
PR1,870,.A1,PR1,870,.A1,PR1
BX8,14,C66,3G5,913,BX8,14
BV4,832,.D6,3,BV4,832,.D6
BX2,350,.D6,25,BX2,350,.D6
BV4,526,.D6,5,BV4,526,.D6
BX8,9,F6L,820,3,BX8,9
BV4,831,.J8,BV4,831,.J8,BV4
BT4,56,W7,BT4,56,W7,BT4
BX4,700,.C4,V56,BX4,700,.C4
BX4,700,.D8,3,BX4,700,.D8
BS2,585,.4.,S65,BS2,585,.4.
BX4,711,0.17,.R3,9,BX4,711
BX2,350,.G7,7,BX2,350,.G7
PZ8,.S1,4L,PZ8,.S1,4L,PZ8
BX8,90,L5,BX8,90,L5,BX8
BX1,751,.S4,2,BX1,751,.S4
BT6,4,M35,BT6,4,M35,BT6
BT6,4,M3,BT6,4,M3,BT6
BT6,4,M3,BT6,4,M3,BT6
BX4,705,.N5,G74,BX4,705,.N5
BT8,25,V58,13,BT8,25,V58
PQ2,637,.A2,74V,7,PQ2,637
BX2,350,0.3,BX2,350,0.3,BX2
BX2,350,.M4,49,BX2,350,.M4
PS3,525,.E7,174,C3,PS3,525
BV5,80,.J7,73,BV5,80,.J7
BT9,93,C58,13,BT9,93,C58
BX2,350,.D6,2,BX2,350,.D6
BX2,350,.D6,23,BX2,350,.D6
HV8,699,.U5,P74,HV8,699,.U5
PR9,199,.O2,5T4,7,PR9,199
PR9,199,.O2,5S7,7,PR9,199
PR9,199,.O2,5.00E+02,8,PR9,199
PZ3,.T1,411,5H8,PZ3,.T1,411
BX4,705,.B1,15,5A3,BX4,705
BX4,700,.L7,T45,13,BX4,700
BX2,350,.E5,34,BX2,350,.E5
BX3,755,D53,BX3,755,D53,BX3
F10,21,C76,F10,21,C76,F10
PR6,31,.,PR6,31,.,PR6
BV4,637,BV4,637,BV4,637,BV4
BV6,0,2.D,78,BV6,0,2.D
BT3,1,B46,213,BT3,1,B46
BT3,1,C34,BT3,1,C34,BT3
BX8,73A,BX8,73A,BX8,73A,BX8
BT3,3,M46,5,BT3,3,M46
BT3,3,2.M,465,BT3,3,2.M
BT3,3,2.M,465,BT3,3,2.M
BX8,30,O46,BX8,30,O46,BX8
BX3,706,.W7,5,BX3,706,.W7
HD5,7.L,69,HD5,7.L,69,HD5
BT3,1,M35,BT3,1,M35,BT3
BX4,700,.L7,A31,3,BX4,700
BX1,746,.D8,2,BX1,746,.D8
BX8,30,O43,BX8,30,O43,BX8
BL5,1.R,241,3,BL5,1.R,241
BS2,555,.B7,633,BS2,555,.B7
BX1,378,.W4,5,BX1,378,.W4
BX1,749,.T5,15,BX1,749,.T5
BV4,645,.P5,13,BV4,645,.P5
BT1,27,D78,BT1,27,D78,BT1
BX1,746,.D7,9,BX1,746,.D7
BT1,27,D8,BT1,27,D8,BT1
BR1,65,C48,BR1,65,C48,BR1
BR2,52,S6,BR2,52,S6,BR2
HQ6,11,O96,8,HQ6,11,O96
BR2,0,D34,BR2,0,D34,BR2
BR1,15,C8G,27,BR1,15,C8G
BX1,912,.J6,313,BX1,912,.J6
KBU,221,2.A,52,KBU,221,2.A
BX4,700,.T6,C5,BX4,700,.T6
BX1,751,0.2,BX1,751,0.2,BX1
BR1,706,.E3,7,BR1,706,.E3
BX1,912,.R6,75,BX1,912,.R6
BX3,755,.O6,5,BX3,755,.O6
BV7,72,N68,BV7,72,N68,BV7
BX2,350,.M2,65,BX2,350,.M2
B76,5.T,52E,474,B76,5.T,52E
BX4,700,.L7,A25,BX4,700,.L7
BX2,347,.M3,8,BX2,347,.M3
BX2,350,.G3,5,BX2,350,.G3
BT2,2,B64,6,BT2,2,B64
BX1,795,.S4,8G7,3,BX1,795
BX1,970,.C3,47,BX1,970,.C3
F10,30,Z89,65,F10,30,Z89
BS2,505,.A3,M43,BS2,505,.A3
PS3,535,.I3,45,PS3,535,.I3
BX2,230,.S6,6,BX2,230,.S6
BS2,585,.H4,3,BS2,585,.H4
BX2,179,.L8,B37,BX2,179,.L8
BX1,751,.B2,331,3,BX1,751
BT8,0.B,333,BT8,0.B,333,BT8
BX2,250,.E4,519,90,BX2,250
BS2,555,.F4,9,BS2,555,.F4
BR1,27,R38,13,BR1,27,R38
BX1,749,.T3,6,BX1,749,.T3
BX1,751,.R3,381,3,BX1,751
BX1,751,.K6,8,BX1,751,.K6
BL7,81,G65,BL7,81,G65,BL7
BX4,700,.L7,A31,3,BX4,700
BX1,751,.M3,367,BX1,751,.M3
PR4,453,.C4,Z84,PR4,453,.C4
GT1,50,V57,GT1,50,V57,GT1
BX1,789,.P3,3,BX1,789,.P3
R72,5.5,5.S,665,R72,5.5,5.S
GT2,860,.V5,7,GT2,860,.V5
BS2,555,.F4,9,BS2,555,.F4
BX1,753,.A3,9,BX1,753,.A3
PR4,453,.C4,I7,PR4,453,.C4
PZ4,.S6,9PG,348,8.O,4,PZ4
PR2,322,.A4,PR2,322,.A4,PR2
PG3,421,.O8,PG3,421,.O8,PG3
PG3,366,.D4,3,PG3,366,.D4
PG3,421,.Z3,PG3,421,.Z3,PG3
BT7,4,O33,BT7,4,O33,BT7
BF5,75,L8P,68,BF5,75,L8P
BX2,350,.2.,R6,BX2,350,.2.
PG3,488,.O4,S,PG3,488,.O4
PZ3,.G8,319,PR6,13,.R4,4
PS3,509,.L4,3C6,PS3,509,.L4
BT1,102,.K7,2,BT1,102,.K7
BV4,509,.K4,651,3,BV4,509
PZ4,.S6,9PG,348,8.O,4,PZ4
BR1,317,.K5,7G5,7,BR1,317
BX1,959,.E5,C38,BX1,959,.E5
PA8,17,W4,PA8,17,W4,PA8
D38,3.J,64,D38,3.J,64,D38
BT1,0,B45,13,BT1,0,B45
BS2,506,.W5,4,BS2,506,.W5
BS2,650,.C3,6,BS2,650,.C3
BV4,509,.S2,95,BV4,509,.S2
BR4,40,D31,3,BR4,40,D31
PR4,453,.C4,M4,PR4,453,.C4
BT8,25,K68,BT8,25,K68,BT8
BT8,46,K7,BT8,46,K7,BT8
BX2,350,.G3,5,BX2,350,.G3
PQ2,625,.A9,3A6,PQ2,625,.A9
ML3,845,.S3,975,ML3,845,.S3
NA5,620,.S1,58V,58,NA5,620
BV6,52,95,M39,BV6,52,95
BT6,13,R35,3,BT6,13,R35
BT3,1,BT3,1,BT3,1,BT3
BX2,385,.A5,93,BX2,385,.A5
BX2,350,.G4,4,BX2,350,.G4
PZ3,.T7,578,PR6,39,.R7,PZ3
BX4,818,.B7,BX4,818,.B7,BX4
BX4,705,.N4,7,BX4,705,.N4
BX4,700,.F6,C78,4,BX4,700
DA3,34,W8F,38,DA3,34,W8F
BR1,720,.A9,O36,BR1,720,.A9
BV4,630,.K7,3,BV4,630,.K7
DS1,17,J54,DS1,17,J54,DS1
QP3,76,S63,77,QP3,76,S63
BX1,970,.N5,3,BX1,970,.N5
M21,19,N43,M21,19,N43,M21
BR1,18,BR1,18,BR1,18,BR1
T14,.P6,67,T14,.P6,67,T14
BX4,705,.N5,J35,BX4,705,.N5
B79,1.S,38,B79,1.S,38,B79
BX4,655,.S7,4,BX4,655,.S7
BX4,705,.D2,95D,6,BX4,705
BX2,351,BX2,351,BX2,351,BX2
BX4,655,.B3,55,BX4,655,.B3
BX4,700,.K5,5T7,4,BX4,700
BX4,655,.C7,8,BX4,655,.C7
BT6,1,D25,3,BT6,1,D25
BT2,99,BT2,99,BT2,99,BT2
BX4,657,.H3,BX4,657,.H3,BX4
BX4,705,.M2,535,V3,BX4,705
BX4,700,.V6,D33,BX4,700,.V6
BX4,705,.B3,55,BX4,705,.B3
BX4,705,.D2,5F3,7,BX4,705
BR6,5.A,78E,5,BR6,5.A,78E
AZ1,1,AZ1,1,AZ1,1,AZ1
HQ1,221,.V6,5,HQ1,221,.V6
PR6,15,.U7,6T4,PR6,15,.U7
BX4,700,.V5,R87,BX4,700,.V5
BX1,378,.M2,6,BX1,378,.M2
BX1,396,.R6,3,BX1,396,.R6
BX1,378,.D3,5,BX1,378,.D3
LB6,75,B72,5S5,LB6,75,B72
PS3,552,.R6,854,34D,336,5
BX4,700,.K5,5S8,BX4,700,.K5
BX4,700,.C4,G54,3,BX4,700
BT6,45,C78,9,BT6,45,C78
BX4,700,.V5,T75,BX4,700,.V5
BX4,669,.C7,8,BX4,669,.C7
BT6,60,BT6,60,BT6,60,BT6
BX4,700,.P3,G3,BX4,700,.P3
BX4,655,.H3,BX4,655,.H3,BX4
BT8,72,H43,BT8,72,H43,BT8
BT6,2,S55,BT6,2,S55,BT6
ML4,29,T7A,3,ML4,29,T7A
PQ2,605,.L2,A8,PQ2,605,.L2
BV4,647,.M4,P45,5,BV4,647
BX2,347,0.4,BX2,347,0.4,BX2
BS5,34,W56,BS5,34,W56,BS5
P94,.M8,P94,.M8,P94,.M8,P94
BX1,749,.T5,BX1,749,.T5,BX1
BT4,55,S45,BT4,55,S45,BT4
BX8,90,S53,7,BX8,90,S53
BX2,170,.C5,6S5,3,BX2,170
BV4,501,.S4,4,BV4,501,.S4
BX4,700,.T5,S44,BX4,700,.T5
HQ7,34,S54,HQ7,34,S54,HQ7
BX2,350,.S4,4,BX2,350,.S4
BX4,705,.S6,12A,37,BX4,705
BT1,200,.S5,BT1,200,.S5,BT1
BT4,30,S47,BT4,30,S47,BT4
BT4,56,S47,BT4,56,S47,BT4
JC5,85,S5,JC5,85,S5,JC5
BT4,56,S44,BT4,56,S44,BT4
BT3,1,BT3,1,BT3,1,BT3
BX1,754,.S5,6,BX1,754,.S5
BX2,350,.S4,6,BX2,350,.S4
HQ7,96,S44,3,HQ7,96,S44
BX2,350,.S5,3,BX2,350,.S5
BX8,91,S56,BX8,91,S56,BX8
BX1,912,.S4,BX1,912,.S4,BX1
BX2,350,.S5,4,BX2,350,.S5
BX2,350,.S5,2,BX2,350,.S5
BT3,1,S41,83,BT3,1,S41
BT3,1,S41,83,BT3,1,S41
BX2,170,.S6,S45,BX2,170,.S6
BX2,170,.S6,S45,BX2,170,.S6
E18,3.7,.B5,7,E18,3.7,.B5
F26,4.G,84M,39,F26,4.G,84M
BX2,353,.C4,819,86,BX2,353
PZ3,.G8,319,E,PZ3,.G8,319
BR1,62,3,BR1,62,3,BR1
BX4,705,.S3,42A,5,BX4,705
BR3,75,H75,2,BR3,75,H75
BX1,754,.S5,53,BX1,754,.S5
HQ7,67,K73,HQ7,67,K73,HQ7
HQ7,66,A53,HQ7,66,A53,HQ7
BX2,350,.M2,73,BX2,350,.M2
PQ4,809,.O6,6C3,813,PQ4,809
BX1,795,.S4,8P4,8,BX1,795
BT7,25,G35,13,BT7,25,G35
BX2,350,.A4,6,BX2,350,.A4
BX3,703,.B2,7,BX3,703,.B2
BV5,80,.C3,BV5,80,.C3,BV5
BX2,157,.K8,3,BX2,157,.K8
HQ3,2.W,475,HQ3,2.W,475,HQ3
BV2,626,.F3,3A3,BV2,626,.F3
RC5,33,M39,RC5,33,M39,RC5
BX2,230,.S6,5,BX2,230,.S6
BT1,102,.K7,4,BT1,102,.K7
BL2,65,L5M,87,BL2,65,L5M
BV5,91,.C7,K41,3,BV5,91
PN6,71,L4,PN6,71,L4,PN6
BT8,85,M38,8,BT8,85,M38
PR6,66,.O4,8.00E+04,PR6,66,.O4
PR6,45,.A9,7L6,8,PR6,45
PR9,619,.W4,S56,PR9,619,.W4
D20,9.P,26,D20,9.P,26,D20
B35,8.C,57,B35,8.C,57,B35
BX4,705,.N5,B49,198,9,BX4
PR4,571,.A1,PR4,571,.A1,PR4
BX4,700,.T5,A32,6,BX4,700
BX1,795,.N3,6M4,720,3,BX1
BV4,647,.M4,F73,BV4,647,.M4
BS1,140,.C6,5,BS1,140,.C6
BX1,378,.I9,4,BX1,378,.I9
BJ3,7.K,74,BJ3,7.K,74,BJ3
BS5,87,K72,BS5,87,K72,BS5
B76,5T5,4G3,14,B76,5T5,4G3
BX1,752,.M2,37,BX1,752,.M2
BT9,7.L,43,BT9,7.L,43,BT9
BX2,350,.S3,7,BX2,350,.S3
BR6,5.I,62E,5,BR6,5.I,62E
BT8,3.S,323,BT8,3.S,323,BT8
BX1,378,.6.,A5,BX1,378,.6.
BR1,12,K5,BR1,12,K5,BR1
BR1,15,E3C,38,BR1,15,E3C
BX4,700,.F6,B55,5,BX4,700
PT8,950,.U5,O61,513,PT8,950
PT8,950,.U5,O61,613,PT8,950
PT8,950,.U5,O62,13,PT8,950
PT8,950,.U5,O63,13,PT8,950
B16,49,S24,71D,66,B16,49
BX1,913,.M3,7,BX1,913,.M3
BR5,26,D73,5,BR5,26,D73
BV2,10,D89,BV2,10,D89,BV2
BT4,50,B32,BT4,50,B32,BT4
PR6,0,.A9,L4,PR6,0,.A9
BF5,1.P,43,BF5,1.P,43,BF5
BJ1,401,.W7,2,BJ1,401,.W7
PR4,453,.C4,PR4,453,.C4,PR4
AC1,.E8,0.91,3,AC1,.E8,0.91
BV2,10,L44,BV2,10,L44,BV2
PE1,585,.L4,PE1,585,.L4,PE1
BR8,5.L,484,BR8,5.L,484,BR8
BX9,45,V53,BX9,45,V53,BX9
PN6,71,.R4,B6,PN6,71,.R4
BX4,705,.C6,814,5T7,613,BX4
BX2,350,.G7,4,BX2,350,.G7
BX2,179,.L8,T44,5,BX2,179
BX9,55,2,BX9,55,2,BX9
BX1,747,.C4,8,BX1,747,.C4
BX4,671,.C3,5,BX4,671,.C3
PR9,199,.O2,5,PR9,199,.O2
B33,59,V64,V66,B33,59,V64
BV4,447,.D3,9,BV4,447,.D3
BX2,230,0.3,BX2,230,0.3,BX2
BX1,961,.S5,6,BX1,961,.S5
BX1,753,.C3,713,BX1,753,.C3
BV4,447,.E3,27,BV4,447,.E3
BX2,347,.Y7,R46,BX2,347,.Y7
BX1,961,.K4,BX1,961,.K4,BX1
PR6,23,.E9,26A,17,PR6,23
BV4,597,.L4,3W5,3,BV4,597
PZ7,.H1,828,M,PZ7,.H1,828
BX1,754,.K5,4,BX1,754,.K5
HQ7,55,85,N48,HQ7,55,85
BT6,55,K25,BT6,55,K25,BT6
DS1,35,N6F,733,13,DS1,35
BX2,376,.G3,5,BX2,376,.G3
BT5,80,K53,I45,BT5,80,K53
HQ7,67,15,S56,HQ7,67,15
D00,6,D00,6,D00,6,D00
BX1,912,BX1,912,BX1,912,BX1
PN1,997,.G6,774,PN1,997,.G6
PN1,995,.F6,7O8,8,PN1,995
PN1,995,.M4,5B4,553,PN1,995
AP2,.R2,553,AP2,.R2,553,AP2
PR6,3,E7,PR6,3,E7,PR6
BX1,378,.V4,620,13,BX1,378
BR1,720,.A9,L36,132,2,BR1
BX1,751,.G8,513,BX1,751,.G8
BS8,95,K62,BS8,95,K62,BS8
BS8,95,K62,0.2,BS8,95,K62
HQ7,66,3.N,6,HQ7,66,3.N
PR4,453,.C4,PR4,453,.C4,PR4
BV5,91,.C7,B33,13,BV5,91
PR5,107,.L6,7,PR5,107,.L6
BX9,55,2.K,452,5,BX9,55
BX1,378,.R5,4,BX1,378,.R5
PC2,129,.E3,PC2,129,.E3,PC2
BT1,21,P51,3,BT1,21,P51
BX2,350,.P4,781,3,BX2,350
BT2,16,G58,13,BT2,16,G58
BR1,45,3.G,582,1,BR1,45
BT6,45,C37,BT6,45,C37,BT6
BT7,66,D4,BT7,66,D4,BT7
BR7,46,B5,BR7,46,B5,BR7
PR4,453,.C4,A6,PR4,453,.C4
BR3,5,C5,BR3,5,C5,BR3
BR4,55,C7,BR4,55,C7,BR4
BR4,75,V5,BR4,75,V5,BR4
BL5,1.G,631,3,BL5,1.G,631
B76,5.T,54E,19,B76,5.T,54E
BR6,5.A,64E,5,BR6,5.A,64E
BT9,93,R31,3,BT9,93,R31
CB3,53,CB3,53,CB3,53,CB3
PS3,565,.C5,7,PS3,565,.C5
BT7,3,R53,BT7,3,R53,BT7
BX2,347,.W4,3,BX2,347,.W4
BR1,720,.A9,L36,13,BR1,720
PR6,39,.O3,2,PR6,39,.O3
BR1,705,.A2,V52,5,BR1,705
BV2,10,B87,BV2,10,B87,BV2
PQ4,412,.G5,5,PQ4,412,.G5
D15,7.S,736,D15,7.S,736,D15
BX2,350,.G7,5,BX2,350,.G7
BS2,585,.M3,7,BS2,585,.M3
BS2,575,.M3,7,BS2,575,.M3
N80,65,N80,65,N80,65,N80
BV4,501,.M1,92,BV4,501,.M1
BX8,90,N41,7,BX8,90,N41
PZ7,.L5,847,4L,PZ7,.L5,847
BJ3,7.S,855,BJ3,7.S,855,BJ3
BX4,668,.H8,6,BX4,668,.H8
BV4,647,.J6,8L3,2,BV4,647
BX2,350,0.65,BX2,350,0.65,BX2
BV4,647,.F5,5H8,5,BV4,647
BX2,230,.C3,8,BX2,230,.C3
BX4,705,.S3,36,BX4,705,.S3
BJ1,470,.K4,5,BJ1,470,.K4
BT7,8,J63,13,BT7,8,J63
GV6,97,S20,10,GV6,97,S20
BX2,355,.W4,5,BX2,355,.W4
BX2,343,.3.,H82,BX2,343,.3.
HF5,388,.S7,4,HF5,388,.S7
BX2,350,0.3,BX2,350,0.3,BX2
BT3,4,K45,BT3,4,K45,BT3
BX2,435,.S2,56,BX2,435,.S2
BX4,705,.F6,2P6,3,BX4,705
BX2,350,0.2,BX2,350,0.2,BX2
BX4,705,.I4,6A3,BX4,705,.I4
HQ4,71,F72,5,HQ4,71,F72
RC5,37,K20,12,RC5,37,K20
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PN5,6.H,38P,437,PN5,6.H,38P
BT2,5,S27,13,BT2,5,S27
BX4,700,.K5,5F4,4,BX4,700
BX1,378,.5A,8,BX1,378,.5A
BX4,700,.B7,5F6,BX4,700,.B7
BR1,45,O86,BR1,45,O86,BR1
BX1,754,.K3,65,BX1,754,.K3
BT1,3,S77,BT1,3,S77,BT1
BX4,705,.A5,8D8,213,BX4,705
BX4,705,.F6,5A5,713,BX4,705
BX1,961,.P4,5,BX1,961,.P4
BX2,230,.M6,6,BX2,230,.M6
BS2,341,.2.,N38,2,BS2,341
BX1,912,.J6,5,BX1,912,.J6
BX2,350,.B6,45,BX2,350,.B6
BV2,10,2.S,516,5,BV2,10
HQ8,1,C68,HQ8,1,C68,HQ8
BX2,347,.M2,7,BX2,347,.M2
BX1,969,.R3,813,BX1,969,.R3
BX1,970,.M4,841,3,BX1,970
BX2,170,.A4,A36,BX2,170,.A4
BX2,375,.D8,7,BX2,375,.D8
BX8,42,D84,BX8,42,D84,BX8
BX4,668,.R3,2,BX4,668,.R3
BX4,705,.N4,26B,69,BX4,705
BX2,40,.J6,4,BX2,40,.J6
BV4,811,.G7,88,BV4,811,.G7
PZ7,.L5,847,4L,PZ7,.L5,847
GN2,84,A29,GN2,84,A29,GN2
BT4,82,S76,BT4,82,S76,BT4
BV4,910,0.34,.M1,83,BV4,910
DS1,35,N6H,548,13,DS1,35
BT6,13,P58,201,8,BT6,13
BV2,10,2.S,531,999,BV2,10
BX4,705,.M5,42M,38,BX4,705
BX4,700,BX4,700,BX4,700,BX4
BX4,705,.M5,42G,751,983,BX4
BV4,647,.M4,T47,213,201,6
BX1,644,BX1,644,BX1,644,BX1
BX8,.2.,B37,BX8,.2.,B37,BX8
BX4,705,.M5,42F,87,BX4,705
BX4,700,.L7,M54,BX4,700,.L7
RC5,58,N53,3,RC5,58,N53
PQ2,613,.I5,7H5,813,PQ2,613
BV4,509,.T4,5,BV4,509,.T4
