V1,V2,V3,V4,V5,V6,V7
BT6,2,H27,BT6,2,H27,BT6
PQ2,625,.A9,3A6,PQ2,625,.A9
BX2,179,.L8,E47,BX2,179,.L8
BT3,6,N68,BT3,6,N68,BT3
BJ1,521,.S3,5,BJ1,521,.S3
BX1,378,.L4,6,BX1,378,.L4
BX2,350,.T4,68,BX2,350,.T4
HX8,10,E54,HX8,10,E54,HX8
BX4,705,.M1,24A,77,BX4,705
BX4,659,.F8,T8,BX4,659,.F8
BX2,350,.G3,35,BX2,350,.G3
BX1,795,.P4,7B8,7,BX1,795
BX1,378,.C6,8,BX1,378,.C6
BX1,752,.S4,BX1,752,.S4,BX1
BT4,53,R31,3,BT4,53,R31
BX1,959,.H5,5,BX1,959,.H5
BX2,380,BX2,380,BX2,380,BX2
BX1,378,.A4,6,BX1,378,.A4
KBU,221,2.M,39,KBU,221,2.M
BX1,752,.N4,8,BX1,752,.N4
BV4,501,.W7,2,BV4,501,.W7
BX4,705,.A7,325,N68,BX4,705
BJ1,249,.D5,2,BJ1,249,.D5
BX1,378,.J6,494,A25,BX1,378
BT7,5.S,5,BT7,5.S,5,BT7
BX2,310,.R7,BX2,310,.R7,BX2
RG1,37,D86,RG1,37,D86,RG1
BJ1,521,.D6,8,BJ1,521,.D6
BX4,668,.C8,7A3,BX4,668,.C8
BV4,211,.3.,C35,BV4,211,.3.
BV4,639,.C3,231,3,BV4,639
BX2,350,.J6,38,BX2,350,.J6
BT6,2,H27,BT6,2,H27,BT6
BX1,756,.S4,5P7,6,BX1,756
PQ2,625,.A9,3,PQ2,625,.A9
HQ7,66,S53,HQ7,66,S53,HQ7
PQ2,625,.A9,3N6,13,PQ2,625
BX1,753,.G5,4,BX1,753,.G5
BX4,668,.B6,7,BX4,668,.B6
BT8,46,3.T,46,BT8,46,3.T
R72,4.O,28,R72,4.O,28,R72
R15,4.B,779,A3,R15,4.B,779
BV4,832,.P4,8,BV4,832,.P4
BX2,350,.N6,695,BX2,350,.N6
BX1,959,.E5,C38,BX1,959,.E5
BX2,170,.C5,6J6,26,BX2,170
BX4,668,.A1,S87,BX4,668,.A1
BX8,90,T62,E6,BX8,90,T62
BX2,355,.B6,6,BX2,355,.B6
BX8,85,T73,BX8,85,T73,BX8
BT1,80,W67,.E,BT1,80,W67
BX4,668,.A1,S87,BX4,668,.A1
BX9,45,H84,BX9,45,H84,BX9
BS4,83,M36,5,BS4,83,M36
BV2,15,B37,BV2,15,B37,BV2
BV8,5.K,385,BV8,5.K,385,BV8
BX4,700,.T5,A4,BX4,700,.T5
BX3,82,O85,13,BX3,82,O85
BR1,641,.C3,7R6,5,BR1,641
PG3,326,.I3,PG3,326,.I3,PG3
BV5,91,.C7,V65,BV5,91,.C7
BX4,406,.Z8,S36,BX4,406,.Z8
BT8,2.B,37,BT8,2.B,37,BT8
BT3,3,2,BT3,3,2,BT3
BX2,179,.L8,R85,13,BX2,179
BX1,959,.M3,8,BX1,959,.M3
BV2,30,J43,BV2,30,J43,BV2
BV8,26,M33,13,BV8,26,M33
BS4,40,H23,7,BS4,40,H23
BX4,700,.F6,T27,BX4,700,.F6
BX1,795,.H6,9N4,4,BX1,795
BX4,655,.G6,7,BX4,655,.G6
BX2,350,.T4,66,BX2,350,.T4
BS2,665,.F5,4,BS2,665,.F5
BX4,700,.L6,F4,BX4,700,.L6
BX2,350,.N4,813,BX2,350,.N4
BX2,260,.W3,4,BX2,260,.W3
BX2,350,.B4,5,BX2,350,.B4
BV5,80,.C3,BV5,80,.C3,BV5
BX2,50,.J4,7H4,3,BX2,50
BX2,215,.C2,613,BX2,215,.C2
HS4,25,W56,HS4,25,W56,HS4
BV4,211,.W3,3,BV4,211,.W3
BX2,230,.B2,6,BX2,230,.B2
BX2,347,.A5,2S4,2,BX2,347
BV5,80,.J7,43,BV5,80,.J7
R72,5.S,25,R72,5.S,25,R72
HV5,275,.W1,5,HV5,275,.W1
BX8,90,J62,331,3,BX8,90
BX4,655,.S2,4,BX4,655,.S2
R72,6.C,293,R72,6.C,293,R72
PS3,554,.E4,5,PS3,554,.E4
BX2,350,.M5,43,BX2,350,.M5
BV2,10,G73,BV2,10,G73,BV2
BX2,0,.A4,C37,BX2,0,.A4
BV4,821,.A1,BV4,821,.A1,BV4
BX1,378,.J5,513,BX1,378,.J5
BX2,182,.F3,7,BX2,182,.F3
BX2,315,.C7,8,BX2,315,.C7
BR8,5.M,77,BR8,5.M,77,BR8
BX4,705,.D5,6L4,9,BX4,705
BR1,608,.C6,Y8,BR1,608,.C6
BX1,378,.E9,4,BX1,378,.E9
PR6,23,.E9,26Z,48,PR6,23
BX9,3,D4,BX9,3,D4,BX9
BV4,407,.D6,4,BV4,407,.D6
BX2,350,0.3,BX2,350,0.3,BX2
BR6,5.A,6,BR6,5.A,6,BR6
BT4,10,W55,BT4,10,W55,BT4
BX1,912,.D5,4,BX1,912,.D5
BX4,700,.B5,J3,BX4,700,.B5
BX2,182,.2.,D58,BX2,182,.2.
BX2,350,.D6,26,BX2,350,.D6
BV4,647,.C6,D64,BV4,647,.C6
BX2,350,.D6,25,BX2,350,.D6
BR1,25,L67,BR1,25,L67,BR1
ML4,10,M9J,76,ML4,10,M9J
HV1,624,.K4,G37,HV1,624,.K4
BT6,45,G72,13,BT6,45,G72
BX2,182,.2.,D64,BX2,182,.2.
BX4,705,.N5,D85,BX4,705,.N5
BV4,515,.D6,3,BV4,515,.D6
BT6,0,MAN,BT6,0,MAN,BT6
BV4,501,.D5,96,BV4,501,.D5
BX2,182,.2P,45,BX2,182,.2P
BV5,82,0.3,BV5,82,0.3,BV5
BX4,705,.N5,N45,3,BX4,705
BX1,421,.2.,B74,BX1,421,.2.
BX4,705,.D5,6D8,7,BX4,705
BX4,705,.K6,W3,BX4,705,.K6
BX4,700,.B7,5B6,BX4,700,.B7
BX4,705,.K6,F57,BX4,705,.K6
B32,13,B84,F72,6,B32,13
BX4,700,.T3,95,BX4,700,.T3
PR6,23,.E9,26Z,48,PR6,23
BV4,625,BV4,625,BV4,625,BV4
BX4,700,.T6,C5,BX4,700,.T6
BV4,639,.F5,8,BV4,639,.F5
BX4,102,.M4,BX4,102,.M4,BX4
